Débits Moyens Journaliers ( m3/s ) Station Beni-Bahdel. Code 160402) Test 30%;
Débits Moyens Journaliers ( m3/s ) Station Beni-Bahdel. Code 160402) Test 30%;
Date;Q
06/03/74;0.495
07/03/74;0.2
08/03/74;0.318
09/03/74;0.2
10/03/74;0.2
11/03/74;0.2
12/03/74;0.259
13/03/74;0.2
14/03/74;0.2
15/03/74;0.2
16/03/74;0.2
17/03/74;0.2
18/03/74;0.2
19/03/74;0.2
20/03/74;0.2
21/03/74;0.2
22/03/74;0.2
23/03/74;0.2
24/03/74;0.17
25/03/74;0.111
26/03/74;0.111
27/03/74;0.111
28/03/74;0.111
29/03/74;0.111
30/03/74;0.111
31/03/74;0.111
01/04/74;0.111
02/04/74;0.111
03/04/74;0.111
04/04/74;0.111
05/04/74;0.096
06/04/74;0.096
07/04/74;0.185
08/04/74;0.141
09/04/74;0.126
10/04/74;0.126
11/04/74;0.126
12/04/74;0.082
13/04/74;0.082
14/04/74;0.096
15/04/74;0.126
16/04/74;0.111
17/04/74;0.096
18/04/74;0.111
19/04/74;0.126
20/04/74;0.082
21/04/74;0.096
22/04/74;0.111
23/04/74;0.082
24/04/74;0.082
25/04/74;0.082
26/04/74;0.082
27/04/74;0.082
28/04/74;0.067
29/04/74;0.067
30/04/74;0.044
01/05/74;0.067
02/05/74;0.044
03/05/74;0.044
04/05/74;0.044
05/05/74;0.044
06/05/74;0.044
07/05/74;0.044
08/05/74;0.044
09/05/74;0.044
10/05/74;0.037
11/05/74;0.037
12/05/74;0.052
13/05/74;0.044
14/05/74;0.052
15/05/74;0.044
16/05/74;0.044
17/05/74;0.044
18/05/74;0.029
19/05/74;0.037
20/05/74;0.029
21/05/74;0.037
22/05/74;0.067
23/05/74;0.052
24/05/74;0.052
25/05/74;0.044
26/05/74;0.052
27/05/74;0.044
28/05/74;0.044
29/05/74;0.044
30/05/74;0.044
31/05/74;0.037
01/06/74;0.037
02/06/74;0.044
03/06/74;0.044
04/06/74;0.052
05/06/74;0.052
06/06/74;0.044
07/06/74;0.037
08/06/74;0.037
09/06/74;0.044
10/06/74;0.044
11/06/74;0.044
12/06/74;0.044
13/06/74;0.037
14/06/74;0.037
15/06/74;0.037
16/06/74;0.037
17/06/74;0.037
18/06/74;0.037
19/06/74;0.037
20/06/74;0.037
21/06/74;0.044
22/06/74;0.044
23/06/74;0.021
24/06/74;0.029
25/06/74;0.029
26/06/74;0.029
27/06/74;0.037
28/06/74;0.037
