Sekkak-Learn;
Sekkak-Learn;
N;Q
659;1.15
660;1.15
661;1.15
662;1.15
663;1.15
664;0.67
665;1.15
666;1.15
667;0.67
668;1.15
669;1.15
670;1.15
671;1.15
672;1.15
673;1.15
674;1.15
675;1.15
676;1.15
677;0.67
678;0.67
679;0.67
680;0.67
681;0.67
682;0.67
683;0.67
684;0.67
685;0.67
686;0.67
687;0.67
688;0.67
689;1.15
690;0.67
691;1.15
692;1.15
693;1.15
694;0.67
695;0.67
696;1.81
697;1.13
698;1.13
699;0.67
700;0.67
701;1.1
702;1.15
703;1.15
704;1.15
705;0.67
706;0.67
707;0.67
708;0.67
709;0.67
710;0.67
711;0.67
712;0.67
713;0.67
714;0.67
715;0.67
716;0.67
717;0.67
718;0.67
719;0.67
720;0.67
721;0.67
722;0.95
723;0.95
724;0.95
725;0.95
726;0.9
727;0.95
728;0.85
729;0.85
730;0.95
731;0.95
732;0.95
733;3.1
734;3.0838888889
735;2
736;1.47
737;7.1
738;4.9
739;4.5
740;3.45
741;9.25625
742;8.3354166667
743;4.15
744;3.45
745;2.4
746;2.7
747;10.7
748;1.47
749;1.47
750;1.85
751;1.85
752;1.85
753;1.875
754;1.8
755;1.85
756;2.8
757;2.525
758;3
759;3.25
760;3.25
761;3.2
762;2.8
763;2.5166666667
764;2.52
765;2.35
766;2.15
767;2.05
768;1.95
769;2.05
770;1.95
771;1.85
772;1.85
773;1.8
774;1.8
775;1.15
776;1.15
777;1.15
778;0.9
779;0.9
780;1.05
781;1.15
782;1.15
783;1.05
784;0.99
785;1.05
786;0.99
787;0.99
788;0.9
789;0.9
790;0.9
791;0.86
792;0.99
793;0.9
794;1.2
795;1.2
796;1.2
797;1.2
798;1.2
799;1.2
800;1.2
801;1.125
802;1.13
803;1.1272727273
804;3.08
805;3.7
806;3.0875
807;2.6125
808;2.3375
809;2.15
810;1.3878947368
811;1.55
812;2.2
813;4.85
814;6.78
815;5.15
816;3.35
817;3.25
818;2.75
819;2.425
820;2.1
821;1.9
822;1.875
823;3.5
824;2.325
825;2.2166666667
826;1.9833333333
827;2.1
828;1.9
829;1.725
830;1.55
831;1.47
832;1.5
833;1.47
834;1.39
835;1.39
836;1.15
837;1.05
838;1.05
839;1.05
840;1.05
841;0.99
842;0.99
843;1.05
844;1.05
845;0.99
846;0.99
847;0.99
848;0.9
849;0.86
850;0.86
851;0.86
852;0.86
853;0.86
854;0.8
855;0.8
856;1.15
857;1.15
858;1.15
859;1.15
860;1.15
861;2.43
862;0.8617647059
863;0.7961538462
864;1.7159898477
865;0.9289473684
866;0.9272727273
867;0.7958333333
868;0.7958333333
869;0.7318181818
870;0.73
871;0.67
872;0.73
873;0.67
874;0.6
875;0.67
876;0.67
877;0.6
878;0.67
879;0.67
880;0.6
881;0.73
882;0.73
883;0.67
884;0.73
885;0.73
886;0.73
887;0.73
888;0.73
889;0.73
890;0.67
891;0.6
892;0.6
893;0.6
894;0.6
895;0.6
896;0.6
897;0.6
898;0.53
899;0.53
900;0.53
901;0.53
902;0.53
903;0.53
904;0.53
905;0.53
906;0.53
907;0.53
908;0.45
909;0.6
910;0.53
911;0.6
912;0.53
913;0.53
914;0.53
915;0.53
916;0.6
917;0.67
918;0.67
919;0.67
920;0.6
921;0.45
922;0.6666666667
923;0.525
924;0.53
925;0.45
926;0.53
927;0.45
928;0.4
929;0.4
930;0.35
931;0.35
932;0.35
933;0.45
934;0.4
935;0.4
936;0.45
937;0.45
938;0.4
939;0.4
940;0.4
941;0.4
942;0.53
943;0.6666666667
944;0.53
945;0.53
946;0.53
947;0.45
948;0.45
949;0.45
950;0.45
951;0.4
952;0.45
953;0.45
