(70%-ENTRAINEMENT) Apports Liquides-Solide Barrage Sidi Aissa;
Apports Liquides Q-Solide C. Barrage Sidi Aissa RU160614 (70% =1418 observations);
T;QL_CON
846;0.888
847;0.708
848;2.985
849;1.164
850;0.888
851;8.82
852;4.24
853;2.354
854;53.82
855;40.26
856;1.274
857;0.372
858;0.186
859;0.045
860;0.081
861;0.081
862;0.063
863;0.063
864;1.338
865;0.282
866;0.234
867;0.186
868;0.186
869;0.138
870;0.138
871;1.338
872;0.796
873;1.658
874;0.21
875;0.162
876;0.162
877;3.4
878;7.77
879;22.5
880;49.5
881;3.96
882;1.922
883;0.708
884;0.258
885;0.21
886;0.21
887;0.186
888;0.162
889;0.186
890;0.186
891;0.162
892;0.162
893;0.162
894;0.162
895;0.162
896;0.186
897;0.186
898;0.372
899;0.258
900;0.234
901;0.33
902;0.306
903;0.234
904;0.21
905;0.21
906;0.186
907;0.162
908;0.234
909;0.582
910;1.53
911;5.25
912;0.75
913;0.666
914;39.78
915;75.7
916;27.24
917;16.2
918;8.19
919;3.4
920;2.138
921;1.118
922;0.666
923;0.498
924;1.072
925;0.372
926;0.582
927;0.282
928;0.234
929;0.162
930;0.162
931;0.258
932;0.138
933;0.072
934;0.063
935;0.045
936;0.045
937;0.842
938;0.09
939;0.018
940;0.21
941;0.33
942;0.09
943;0.054
944;1.85
945;0.708
946;0.138
947;3.068
948;1.53
949;1.14
950;0.227
951;0.159
952;0.114
953;0.56
954;0.136
955;0.114
956;0.091
957;0.091
958;0.039
959;0.052
960;0.078
961;0.065
962;0.091
963;0.136
964;0.159
965;0.078
966;0.039
967;0.114
968;0.159
969;0.114
970;0.114
971;0.136
972;0.295
973;17.1
974;10
975;2.04
976;0.56
977;0.318
978;0.273
979;0.25
980;0.25
981;0.227
982;0.25
983;0.227
984;0.205
985;0.227
986;0.318
987;0.227
988;0.25
989;0.25
990;0.25
991;0.25
992;0.499
993;6.558
994;24.78
995;5.622
996;3.096
997;1.925
998;1.182
999;0.881
1000;0.926
1001;0.481
1002;0.455
1003;0.481
1004;0.455
1005;0.402
1006;0.461
1007;0.461
1008;3.288
1009;1.548
1010;2.35
1011;0.926
1012;1.121
1013;0.657
1014;0.586
1015;0.533
1016;0.702
1017;1.243
1018;1.67
1019;4.632
1020;4.2
1021;4.344
1022;2.808
1023;2.095
1024;28.44
1025;14.68
1026;20.51
1027;11.5
1028;9.94
1029;6.3
1030;10.98
1031;4.935
1032;3.57
1033;3.125
1034;2.392
1035;2.104
1036;1.895
1037;1.7
1038;1.44
1039;1.31
1040;1.31
1041;0.985
1042;1.44
1043;1.44
1044;1.05
1045;0.855
1046;0.593
1047;0.526
1048;0.526
1049;0.56
1050;0.526
1051;0.66
1052;0.66
1053;1.18
1054;0.855
1055;0.725
1056;0.79
1057;1.505
1058;1.895
1059;2.032
1060;1.635
1061;1.44
1062;1.31
1063;0.985
1064;0.79
1065;0.725
1066;0.627
1067;0.526
1068;0.459
1069;0.392
1070;0.298
1071;0.325
1072;0.271
1073;0.244
1074;0.189
1075;0.135
1076;0.325
1077;0.359
1078;0.92
1079;1.052
1080;0.381
1081;0.239
1082;0.158
1083;0.158
1084;0.185
1085;0.158
1086;0.158
1087;0.158
1088;0.132
1089;0.105
1090;0.105
1091;0.07
1092;0.07
1093;0.078
1094;0.105
1095;0.212
1096;0.158
1097;0.105
1098;0.078
1099;0.062
1100;0.031
1101;0.031
1102;0.039
1103;0.031
1104;0.031
1105;0.031
1106;0.07
1107;0.105
1108;0.158
1109;0.185
1110;0.158
1111;0.078
1112;0.078
1113;0.078
1114;0.047
1115;0.047
1116;0.047
1117;0.047
1118;0.062
1119;0.105
1120;0.158
1121;0.292
1122;0.185
1123;0.185
1124;0.158
1125;0.158
1126;0.132
1127;0.185
1128;0.158
1129;0.185
1130;0.185
1131;0.158
1132;0.185
1133;0.185
1134;0.185
1135;0.212
1136;0.212
1137;0.185
1138;0.292
1139;0.266
1140;0.346
1141;0.292
1142;0.319
1143;0.292
1144;0.292
1145;0.381
1146;2.31
1147;0.381
1148;0.319
1149;0.346
1150;1.123
1151;0.554
1152;0.415
1153;0.415
1154;0.346
1155;0.292
1156;0.292
1157;0.239
1158;0.266
1159;0.185
1160;0.158
1161;0.158
1162;0.132
1163;0.055
1164;0.07
1165;0.105
1166;0.07
1167;0.055
1168;0.266
1169;0.624
1170;0.319
1171;0.319
1172;0.381
1173;0.132
1174;0.07
1175;0.07
1176;0.047
1177;0.158
1178;0.158
1179;0.023
1180;0.031
1181;0.031
1182;0.016
1183;0.2880701754
1184;0.09
1185;0.287962963
1186;10.36
1187;0.3119850187
1188;0.1470588235
1189;2.4479924037
1190;9.9401041667
1191;0.287037037
1192;0.347007874
1193;0.4079975947
1194;295.4
1195;9.9
1196;0.1
1197;0.1066666667
1198;0.1
1199;0.0625
1200;0.0625
1201;0.0833333333
1202;0.0333333333
1203;0.1
1204;0.1
1205;0.2
1206;0.226
1207;0.135
1208;0.095
1209;0.095
1210;0.095
1211;0.105
1212;0.506
1213;0.257
1214;0.166
1215;0.572
1216;0.287
1217;0.257
1218;0.226
1219;0.226
1220;0.166
1221;0.257
1222;0.257
1223;0.226
1224;0.506
1225;0.287
1226;0.317
1227;0.317
1228;0.226
1229;0.347
1230;0.135
1231;0.257
1232;0.287
1233;0.257
1234;0.287
1235;0.257
1236;0.257
1237;0.135
1238;0.226
1239;0.226
1240;0.166
1241;0.226
1242;0.166
1243;0.196
1244;0.166
1245;0.287
1246;0.287
1247;0.105
1248;0.226
1249;0.226
1250;1.068
1251;0.287
1252;0.572
1253;0.408
1254;0.347
1255;0.226
1256;0.317
1257;0.287
